name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,all_measurements,all_ingredients
Widow's Dream Cocktail,Cocktail Classics,1.5, Benedictine,1, Whole Egg,,,,,,,,,Shake with ice and strain into cocktail glass. Float one teaspoon of sweet cream on top.,Cocktail Glass,6 or more ounces,"[1.5, '1', nan, nan, nan, nan]","[' Benedictine', ' Whole Egg', nan, nan, nan, nan]"
Vodka Gypsy Cocktail,Cocktail Classics,1.5, Old Mr. Boston Vodka,0.75, Benedictine,1, Angostura Bitters,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, '1', nan, nan, nan]","[' Old Mr. Boston Vodka', ' Benedictine', ' Angostura Bitters', nan, nan, nan]"
South Of The Border,Tequila,1, Blanco tequila,0.75, Coffee-flavored brandy,0.5, Fresh Lime Juice, Lime wheel,,,,,,Shake with ice and strain into chilled sour glass. Garnish with lime.,Cordial or Pony Glass,2 to 3 ounces,"['1', 0.75, 0.5, ' Lime wheel', nan, nan]","[' Blanco tequila', ' Coffee-flavored brandy', ' Fresh Lime Juice', nan, nan, nan]"
Vodka Grasshopper Cocktail,Cocktail Classics,0.75, Old Mr. Boston Vodka,0.75, Old Mr. Boston Green Creme de Menthe,0.75, Old Mr. Boston White Creme de Cacao,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, nan, nan, nan]","[' Old Mr. Boston Vodka', ' Old Mr. Boston Green Creme de Menthe', ' Old Mr. Boston White Creme de Cacao', nan, nan, nan]"
Violet Fizz Juice,Cocktail Classics,0.5, Juice of a Lemon,0.5, Powdered Sugar,1.5, Old Mr. Boston Dry Gin,1, Creme Yvette,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces,"[0.5, 0.5, 1.5, '1', nan, nan]","[' Juice of a Lemon', ' Powdered Sugar', ' Old Mr. Boston Dry Gin', ' Creme Yvette', nan, nan]"
Smoked Margarita,Tequila,0.5," Smoky Scotch whisky, such as Islay or Skye",1, Reposado tequila,1, Triple Sec,0.5, Fresh lemon juice,0.5, Fresh Lime Juice,, Lime wedge,Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Add lime wedge.,Old-Fashioned Glass,6 to 8 ounces,"[0.5, '1', '1', 0.5, 0.5, nan]","[' Smoky Scotch whisky, such as Islay or Skye', ' Reposado tequila', ' Triple Sec', ' Fresh lemon juice', ' Fresh Lime Juice', ' Lime wedge']"
Sloe Tequila,Shooters,1, Blanco tequila,0.5, Sloe gin,0.5, Fresh Lime Juice, Cucumber peel twist,,,,,,Combine ingredients with 1/2 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Add cucumber twist.,Old-Fashioned Glass,6 to 8 ounces,"['1', 0.5, 0.5, ' Cucumber peel twist', nan, nan]","[' Blanco tequila', ' Sloe gin', ' Fresh Lime Juice', nan, nan, nan]"
Queen Elizabeth Cocktail,Cocktail Classics,1.5, Old Mr. Boston Dry Gin,0.5, Dry Vermouth,1.5, Benedictine,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 1.5, nan, nan, nan]","[' Old Mr. Boston Dry Gin', ' Dry Vermouth', ' Benedictine', nan, nan, nan]"
Silk Stockings,Tequila,1.5, Blanco tequila,1, White creme de cacao,1.5, Heavy cream,1, Grenadine,, Ground cinnamon,,,Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,6 or more ounces,"[1.5, '1', 1.5, '1', nan, nan]","[' Blanco tequila', ' White creme de cacao', ' Heavy cream', ' Grenadine', ' Ground cinnamon', nan]"
Orchid Cocktail,Cocktail Classics,2, Old Mr. Boston Dry Gin,1, Egg White,1, Creme Yvette,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['2', '1', '1', nan, nan, nan]","[' Old Mr. Boston Dry Gin', ' Egg White', ' Creme Yvette', nan, nan, nan]"
Orange Milk Fizz,Cocktail Classics,0.5, Juice of a Lemon,1, Powdered Sugar,2, Old Mr. Boston Orange Flavored Gin ,2, Milk,,,,,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces,"[0.5, '1', '2', '2', nan, nan]","[' Juice of a Lemon', ' Powdered Sugar', ' Old Mr. Boston Orange Flavored Gin ', ' Milk', nan, nan]"
Orange Gin Rickey,Cocktail Classics,0.5, Juice of a Lime,2, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,Pour into highball glass over ice cubes and fill with carbonated water. Add wedge of lime. Stir.,Highball Glass,7 to 10 ounces,"[0.5, '2', nan, nan, nan, nan]","[' Juice of a Lime', ' Old Mr. Boston Orange Flavored Gin ', nan, nan, nan, nan]"
Orange Gin Highball,Cocktail Classics,2, Old Mr. Boston Orange Flavored Gin ,,ginger ale,,lemon twist,,,,,,,"Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir.",Highball Glass,7 to 10 ounces,"['2', nan, nan, nan, nan, nan]","[' Old Mr. Boston Orange Flavored Gin ', 'ginger ale', 'lemon twist', nan, nan, nan]"
Orange Gin Fizz,Cocktail Classics,0.5, Juice of a Lemon,1, Powdered Sugar,2, Old Mr. Boston Orange Flavored Gin ,,,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces,"[0.5, '1', '2', nan, nan, nan]","[' Juice of a Lemon', ' Powdered Sugar', ' Old Mr. Boston Orange Flavored Gin ', nan, nan, nan]"
Orange Gin Collins,Cocktail Classics,0.5, Juice of a Lemon,2, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,"Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Decorate with slices of lemon and orange and a cherry. Serve with straws.",Collins Glass,14 to 16 ounces,"[0.5, '2', nan, nan, nan, nan]","[' Juice of a Lemon', ' Old Mr. Boston Orange Flavored Gin ', nan, nan, nan, nan]"
Sidewinder,Tequila,1.5, Reposado tequila,0.5, Campari,0.5," Vanilla syrup, preferably B.A. Reynold's",0.5, Fresh Lime Juice,0.25, Mezcal,2," Ginger beer, 1 oz",Fill Collins glass 1/2 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.,Collins Glass,14 to 16 ounces,"[1.5, 0.5, 0.5, 0.5, 0.25, '2']","[' Reposado tequila', ' Campari', "" Vanilla syrup, preferably B.A. Reynold's"", ' Fresh Lime Juice', ' Mezcal', ' Ginger beer, 1 oz']"
Orange Blossom Cocktail,Cocktail Classics,1, Old Mr. Boston Dry Gin,1, Orange Juice,0.25, Powdered Sugar,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', 0.25, nan, nan, nan]","[' Old Mr. Boston Dry Gin', ' Orange Juice', ' Powdered Sugar', nan, nan, nan]"
Shady Lady,Tequila,1, Blanco tequila,1, Melon liqueur,4, Fresh grapefruit juice,4, Fresh grapefruit juice,, Lime wedge; honeydew melon wedge or maraschino cherry,,,Combine all ingredients in ice-filled highball glass and stir. Garnish with lime and melon or cherry.,Highball Glass,7 to 10 ounces,"['1', '1', '4', '4', nan, nan]","[' Blanco tequila', ' Melon liqueur', ' Fresh grapefruit juice', ' Fresh grapefruit juice', ' Lime wedge; honeydew melon wedge or maraschino cherry', nan]"
Cherry Blossom,Brandy,," Cherry-flavored brandy, superfine sugar",1, Brandy,0.5, cherry-flavored brandy,0.5, Fresh lemon juice,0.25, Triple Sec,0.25," Grenadine, maraschino cherry",Rim chilled cocktail glass with brandy and sugar. Shake ingredients with ice and strain into glass. Add cherry.,Cocktail Glass,6 or more ounces,"[nan, '1', 0.5, 0.5, 0.25, 0.25]","[' Cherry-flavored brandy, superfine sugar', ' Brandy', ' cherry-flavored brandy', ' Fresh lemon juice', ' Triple Sec', ' Grenadine, maraschino cherry']"
The Sfozando,Tequila,1, Mezcal,0.75, Rye Whiskey,0.5, Dry Vermouth,0.5, Benedictine,1, Chocolate bitters,, Orange twist,Stir with ice and strain into cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces,"['1', 0.75, 0.5, 0.5, '1', nan]","[' Mezcal', ' Rye Whiskey', ' Dry Vermouth', ' Benedictine', ' Chocolate bitters', ' Orange twist']"
Napoleon Cocktail,Cocktail Classics,2, Old Mr. Boston Dry Gin,0.5, Curacao,0.5, Dubonnet,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['2', 0.5, 0.5, nan, nan, nan]","[' Old Mr. Boston Dry Gin', ' Curacao', ' Dubonnet', nan, nan, nan]"
Moulin Rouge Cocktail,Cocktail Classics,1.5, Old Mr. Boston Sloe Gin,0.75, Sweet Vermouth,1, Bitters,,,,,,,Stir with ice and strain cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, '1', nan, nan, nan]","[' Old Mr. Boston Sloe Gin', ' Sweet Vermouth', ' Bitters', nan, nan, nan]"
Sea Of Cortez,Tequila,1.5, Blanco tequila,1, Fresh Lime Juice,0.75, Creme de Cassis,0.25, Orange curacao,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, '1', 0.75, 0.25, nan, nan]","[' Blanco tequila', ' Fresh Lime Juice', ' Creme de Cassis', ' Orange curacao', nan, nan]"
Satin Sheets,Tequila,1.5, Blanco tequila,0.5, Falernum,0.5, Simple Syrup,0.75, Fresh Lime Juice,, Lime wheel,,,Shake with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.5, 0.75, nan, nan]","[' Blanco tequila', ' Falernum', ' Simple Syrup', ' Fresh Lime Juice', ' Lime wheel', nan]"
Santana Sling,Tequila,1.5, Reposado tequila,0.5, Cherry Heering,0.25, Batavia arrack or light rum,0.5, Fresh Lime Juice,3, Ginger beer,,,Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.,Collins Glass,14 to 16 ounces,"[1.5, 0.5, 0.25, 0.5, '3', nan]","[' Reposado tequila', ' Cherry Heering', ' Batavia arrack or light rum', ' Fresh Lime Juice', ' Ginger beer', nan]"
Rosita,Tequila,1.5, Blanco tequila,0.5, Sweet Vermouth,0.5, Dry Vermouth,0.5, Campari,1, Angostura Bitters,, Lemon twist,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces,"[1.5, 0.5, 0.5, 0.5, '1', nan]","[' Blanco tequila', ' Sweet Vermouth', ' Dry Vermouth', ' Campari', ' Angostura Bitters', ' Lemon twist']"
Mariposa Cocktail,Cocktail Classics,1, Old Mr. Boston Rum,0.5, Old Mr. Boston Five Star Brandy,1, Lemon Juice,1, Orange Juice,1, Grenadine,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, '1', '1', '1', nan]","[' Old Mr. Boston Rum', ' Old Mr. Boston Five Star Brandy', ' Lemon Juice', ' Orange Juice', ' Grenadine', nan]"
Margarita Cocktail,Cocktail Classics,1.5, Old Mr. Boston Tequila,0.5, Old Mr. Boston Triple Sec,1, Lemon or Lime Juice,,,,,,,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. ",Cocktail Glass,6 or more ounces,"[1.5, 0.5, '1', nan, nan, nan]","[' Old Mr. Boston Tequila', ' Old Mr. Boston Triple Sec', ' Lemon or Lime Juice', nan, nan, nan]"
The Refuge,Tequila,1.5, Blanco tequila,0.5, Aperol,0.25, Fresh Lime Juice,0.25, Grapefruit Juice,0.25, Agave nectar,,,Shake with ice. Strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, 0.25, 0.25, 0.25, nan]","[' Blanco tequila', ' Aperol', ' Fresh Lime Juice', ' Grapefruit Juice', ' Agave nectar', nan]"
Manhattan Cocktail (dry),Cocktail Classics,0.75, Dry Vermouth,1.5, Old Thompson Blended Whiskey,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,6 or more ounces,"[0.75, 1.5, nan, nan, nan, nan]","[' Dry Vermouth', ' Old Thompson Blended Whiskey', nan, nan, nan, nan]"
Mamie Taylor,Cocktail Classics,0.5, Juice of a Lime,2, Desmond & Duff Scotch Whisky,,,,,,,,,Fill collins glass with ginger ale and ice. Stir.,Collins Glass,14 to 16 ounces,"[0.5, '2', nan, nan, nan, nan]","[' Juice of a Lime', ' Desmond & Duff Scotch Whisky', nan, nan, nan, nan]"
Quetzalcoatl,Tequila,1, Blanco tequila,0.75, Mezcal,0.5, Creme de peche,0.5, Guava puree,0.5, Grapefruit Juice,, Grapefruit twist,Shake with ice and strain into cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces,"['1', 0.75, 0.5, 0.5, 0.5, nan]","[' Blanco tequila', ' Mezcal', ' Creme de peche', ' Guava puree', ' Grapefruit Juice', ' Grapefruit twist']"
Zero Mint,Cocktail Classics, 2, Mr. Boston Creme de menthe,,water,,,,,,,,,For each serving chill 2 oz. Old Mr. Boston Creme de Menthe (Green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (Does not have to be frozen solid.) Serve in cocktail glasses.,Cocktail Glass,6 or more ounces,"[' 2', nan, nan, nan, nan, nan]","[' Mr. Boston Creme de menthe', 'water', nan, nan, nan, nan]"
Purple Pancho,Tequila,For glass," Lime wedge, superfine sugar",1, Blanco tequila,0.5, Blue curacao,0.5, Sloe gin,2, Fresh Lime Juice,1," each Fresh lemon juice, simple syrup, 1 lime wheel",Rim chilled cocktail or margarita glass with lime wedge and sugar. Shake remaining ingredients with ice and pour with ice into glass. Garnish with lime wheel.,Cocktail Glass,6 or more ounces,"['For glass', '1', 0.5, 0.5, '2', '1']","[' Lime wedge, superfine sugar', ' Blanco tequila', ' Blue curacao', ' Sloe gin', ' Fresh Lime Juice', ' each Fresh lemon juice, simple syrup, 1 lime wheel']"
Midnight Express,Rum - Daiquiris,1.5, Dark rum,0.5, Triple Sec,0.75, Fresh Lime Juice,0.25, Fresh lemon juice,0.25, Simple Syrup,,,Shake with ice and pour into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces,"[1.5, 0.5, 0.75, 0.25, 0.25, nan]","[' Dark rum', ' Triple Sec', ' Fresh Lime Juice', ' Fresh lemon juice', ' Simple Syrup', nan]"
London Special Cocktail,Cocktail Classics,,orange peel,,lump sugar,2 dashes ,bitters,champagne,,,,,,Put a large twist of orange peel into champagne glass. Add 1 lump sugar and 2 dashes bitters. Fill with well-chilled champagne and stir.,Champagne Flute,6 to 8 ounces,"[nan, nan, '2 dashes ', 'champagne', nan, nan]","['orange peel', 'lump sugar', 'bitters', nan, nan, nan]"
Mary Pickford Cocktail,Rum - Daiquiris,1.5, Light Rum,0.75, Pineapple Juice,0.25, Maraschino liqueur,0.25, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, 0.25, 0.25, nan, nan]","[' Light Rum', ' Pineapple Juice', ' Maraschino liqueur', ' Grenadine', nan, nan]"
Charles Cocktail,Brandy,1.5, Brandy,1.5, Sweet Vermouth,1, Angostura Bitters,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 1.5, '1', nan, nan, nan]","[' Brandy', ' Sweet Vermouth', ' Angostura Bitters', nan, nan, nan]"
Martinique Rose,Rum - Daiquiris,2, Aged rhum agricole,0.5, Amaretto,0.75, Fresh Lime Juice,0.75, Grapefruit Juice,0.5, orgeat or almond syrup,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['2', 0.5, 0.75, 0.75, 0.5, nan]","[' Aged rhum agricole', ' Amaretto', ' Fresh Lime Juice', ' Grapefruit Juice', ' orgeat or almond syrup', nan]"
Mariposa,Rum - Daiquiris,1, Light Rum,0.5, Brandy,0.5, Fresh lemon juice,0.5, Orange juice,1, Grenadine,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, 0.5, 0.5, '1', nan]","[' Light Rum', ' Brandy', ' Fresh lemon juice', ' Orange juice', ' Grenadine', nan]"
Mandeville,Rum - Daiquiris,1.5, Light Rum,1, Dark rum,0.5, Fresh lemon juice,1, Anisette,1, Grenadine, Cola,,Shake first five ingredients with ice and strain into ice-filled old fashioned glass. Top with cola.,Old-Fashioned Glass,6 to 8 ounces,"[1.5, '1', 0.5, '1', '1', ' Cola']","[' Light Rum', ' Dark rum', ' Fresh lemon juice', ' Anisette', ' Grenadine', nan]"
K.C.B. Cocktail,Cocktail Classics,0.5, Old Mr. Boston Kummel,1.5, Old Mr. Boston Dry Gin,0.25, Old Mr. Boston Apricot Flavored Brandy,0.25, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Add twist of lemon peel.,Cocktail Glass,6 or more ounces,"[0.5, 1.5, 0.25, 0.25, nan, nan]","[' Old Mr. Boston Kummel', ' Old Mr. Boston Dry Gin', ' Old Mr. Boston Apricot Flavored Brandy', ' Lemon Juice', nan, nan]"
Malmaison,Rum - Daiquiris,, Anisette,1, Light Rum,0.5, Cream sherry,1, Fresh lemon juice,,,,,Rim chilled cocktail glass with anisette. Shake remaining ingredients with ice. Strain into glass.,Cocktail Glass,6 or more ounces,"[nan, '1', 0.5, '1', nan, nan]","[' Anisette', ' Light Rum', ' Cream sherry', ' Fresh lemon juice', nan, nan]"
Mai-Tai (Trader Vic Version),Rum - Daiquiris,2," Dark rum, preferably Jamaican",0.5, Orange curacao,1, Fresh lime juice (reserve 1/2 lime shell for garnish),0.5, Orgeat Syrup,0.25, Rock candy syrup or simple syrup,, Fresh mint sprig; pineapple wedge skewered with maraschino cherry,"Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with lime shell, mint, and skewered pineapple and cherry.",Old-Fashioned Glass,6 to 8 ounces,"['2', 0.5, '1', 0.5, 0.25, nan]","[' Dark rum, preferably Jamaican', ' Orange curacao', ' Fresh lime juice (reserve 1/2 lime shell for garnish)', ' Orgeat Syrup', ' Rock candy syrup or simple syrup', ' Fresh mint sprig; pineapple wedge skewered with maraschino cherry']"
Jersey Lightning Cocktail,Cocktail Classics,1.5, Apple Brandy,0.5, Sweet Vermouth,1, Juice of a Lime,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, '1', nan, nan, nan]","[' Apple Brandy', ' Sweet Vermouth', ' Juice of a Lime', nan, nan, nan]"
Lumination,Rum - Daiquiris,2, Fresh ginger,1, Simple Syrup,2, Dark rum,1, VS cognac,1," each Fresh lemon juice, Angostura bitters",, Lemon twist,Muddle ginger in syrup in mixing glass. Add remaining ingredients and ice and shake. Strain into chilled champagne flute. Add lemon twist.,Champagne Flute,6 to 8 ounces,"['2', '1', '2', '1', '1', nan]","[' Fresh ginger', ' Simple Syrup', ' Dark rum', ' VS cognac', ' each Fresh lemon juice, Angostura bitters', ' Lemon twist']"
Jamaica Glow Cocktail,Cocktail Classics,1, Old Mr. Boston Dry Gin,1, Claret,1, Orange Juice,1, Jamaica Rum,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', '1', '1', nan, nan]","[' Old Mr. Boston Dry Gin', ' Claret', ' Orange Juice', ' Jamaica Rum', nan, nan]"
Lounge Lizard,Rum - Daiquiris,1, Dark rum,0.5, Amaretto,, Cola, Lime wedge,,,,,,Pour rum and amaretto into ice-filled Collins glass. Fill with cola and stir. Garnish with lime.,Collins Glass,14 to 16 ounces,"['1', 0.5, nan, ' Lime wedge', nan, nan]","[' Dark rum', ' Amaretto', ' Cola', nan, nan, nan]"
Jack-in-the-Box Cocktail,Cocktail Classics,1, Apple Brandy,1, Pineapple Juice,1, Bitters,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"['1', '1', '1', nan, nan, nan]","[' Apple Brandy', ' Pineapple Juice', ' Bitters', nan, nan, nan]"
Irish Whisky Cocktail,Cocktail Classics,0.5, Old Mr. Boston Triple Sec,0.5, Absinthe Substitute,0.25, Maraschino,1, Bitters,2, Irish Whiskey,,,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,6 or more ounces,"[0.5, 0.5, 0.25, '1', '2', nan]","[' Old Mr. Boston Triple Sec', ' Absinthe Substitute', ' Maraschino', ' Bitters', ' Irish Whiskey', nan]"
Look Out Below,Rum - Daiquiris,1.5, 151-Proof Rum,0.5, Fresh Lime Juice,0.25, Grenadine,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces,"[1.5, 0.5, 0.25, nan, nan, nan]","[' 151-Proof Rum', ' Fresh Lime Juice', ' Grenadine', nan, nan, nan]"
Little Princess Cocktail,Rum - Daiquiris,1.5, Light Rum,1.5, Sweet Vermouth,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 1.5, nan, nan, nan, nan]","[' Light Rum', ' Sweet Vermouth', nan, nan, nan, nan]"
Little Devil Cocktail,Rum - Daiquiris,0.75, Light Rum,0.75, Gin,0.5, Fresh lemon juice,0.25, Triple Sec,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.5, 0.25, nan, nan]","[' Light Rum', ' Gin', ' Fresh lemon juice', ' Triple Sec', nan, nan]"
Champs Elysees Cocktail,Brandy,1, Brandy,0.5, Yellow Chartreuse,0.5, Fresh lemon juice,1, Simple Syrup,1, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,"['1', 0.5, 0.5, '1', '1', nan]","[' Brandy', ' Yellow Chartreuse', ' Fresh lemon juice', ' Simple Syrup', ' Angostura Bitters', nan]"
Hop Toad Cocktail ,Cocktail Classics,0.5, Juice of a Lime,0.75, Old Mr. Boston Apricot Flavored Brandy,0.75, Old Mr. Boston Rum,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.5, 0.75, 0.75, nan, nan, nan]","[' Juice of a Lime', ' Old Mr. Boston Apricot Flavored Brandy', ' Old Mr. Boston Rum', nan, nan, nan]"
Level headed Cocktail,Rum - Daiquiris,1.5, Aged rhum agricole,1, Cold brewed coffee,0.5, Allspice liqueur (pimento dram),0.25, Simple Syrup,2, Angostura Bitters,,,Shake with ice and strain into snifter.,Brandy Snifter,8 to 12 ounces,"[1.5, '1', 0.5, 0.25, '2', nan]","[' Aged rhum agricole', ' Cold brewed coffee', ' Allspice liqueur (pimento dram)', ' Simple Syrup', ' Angostura Bitters', nan]"
La Vita Dulce,Rum - Daiquiris,1.5, Spiced rum,0.75, Mezcal,0.75, Fresh Lime Juice,0.75, Simple Syrup,, Ground cinnamon,,,Shake with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,6 or more ounces,"[1.5, 0.75, 0.75, 0.75, nan, nan]","[' Spiced rum', ' Mezcal', ' Fresh Lime Juice', ' Simple Syrup', ' Ground cinnamon', nan]"
Hole-in-One Cocktail,Cocktail Classics,1.75, Desmond & Duff Scotch Whisky,0.75, Dry Vermouth,0.25, Lemon Juice,1, Orange Bitters,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.75, 0.75, 0.25, '1', nan, nan]","[' Desmond & Duff Scotch Whisky', ' Dry Vermouth', ' Lemon Juice', ' Orange Bitters', nan, nan]"
Ko Adang,Rum - Daiquiris,2, Dark rum,1, Coconut rum,0.5, Ginger liqueur,0.5, Mango nectar,0.5, Cream of coconut,0.5," Fresh Lime Juice, lime wheel",Shake with ice and strain into ice-filled Collins glass. Garnish with lime.,Collins Glass,14 to 16 ounces,"['2', '1', 0.5, 0.5, 0.5, 0.5]","[' Dark rum', ' Coconut rum', ' Ginger liqueur', ' Mango nectar', ' Cream of coconut', ' Fresh Lime Juice, lime wheel']"
Knickerbocker Special Cocktail,Rum - Daiquiris,2, Light Rum,0.5, Triple Sec,1, Fresh lemon juice,1, Orange juice,1, Raspberry Syrup,, Small pineapple slice,Shake with ice and strain into chilled cocktail glass. Garnish with pineapple.,Cocktail Glass,6 or more ounces,"['2', 0.5, '1', '1', '1', nan]","[' Light Rum', ' Triple Sec', ' Fresh lemon juice', ' Orange juice', ' Raspberry Syrup', ' Small pineapple slice']"
Hair Raiser Cocktail,Cocktail Classics,1.5, Old Mr. Boston 100 proof Vodka,0.5, Old Mr. Boston Rock and Rye,1, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[1.5, 0.5, '1', nan, nan, nan]","[' Old Mr. Boston 100 proof Vodka', ' Old Mr. Boston Rock and Rye', ' Lemon Juice', nan, nan, nan]"
Green Opal Cocktail,Cocktail Classics,0.5, Old Mr. Boston Dry Gin,0.5, Old Mr. Boston Anisette ,1, Absinthe Substitute,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.5, 0.5, '1', nan, nan, nan]","[' Old Mr. Boston Dry Gin', ' Old Mr. Boston Anisette ', ' Absinthe Substitute', nan, nan, nan]"
Jamaican Ginger,Rum - Daiquiris,1.5, Light Rum,1, Dark rum,0.5, Falernum,0.5, Fresh Lime Juice,4, Angostura Bitters,," Ginger ale, lime wheel",Stir first five ingredients in ice-filled Collins glass. Top with ginger ale. Garnish with lime.,Collins Glass,14 to 16 ounces,"[1.5, '1', 0.5, 0.5, '4', nan]","[' Light Rum', ' Dark rum', ' Falernum', ' Fresh Lime Juice', ' Angostura Bitters', ' Ginger ale, lime wheel']"
Green Dragon Cocktail,Cocktail Classics,0.5, Juice of a Lemon,0.5, Old Mr. Boston Kummel,0.5, Old Mr. Boston Green Creme de Menthe,1.5, Old Mr. Boston Dry Gin,4, Orange Bitters,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.5, 0.5, 0.5, 1.5, '4', nan]","[' Juice of a Lemon', ' Old Mr. Boston Kummel', ' Old Mr. Boston Green Creme de Menthe', ' Old Mr. Boston Dry Gin', ' Orange Bitters', nan]"
Grasshopper Cocktail,Cocktail Classics,0.75, Old Mr. Boston Green Creme de Menthe,0.75, Old Mr. Boston White Creme de Cacao,0.75, Light Sweet Cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,"[0.75, 0.75, 0.75, nan, nan, nan]","[' Old Mr. Boston Green Creme de Menthe', ' Old Mr. Boston White Creme de Cacao', ' Light Sweet Cream', nan, nan, nan]"
Jamaican Crawler,Rum - Daiquiris,1, Light Rum,1, Melon liqueur,3, Pineapple Juice,1, Grenadine,,,,,Shake first three ingredients with ice and pour into Collins glass. Add grenadine and stir.,Collins Glass,14 to 16 ounces,"['1', '1', '3', '1', nan, nan]","[' Light Rum', ' Melon liqueur', ' Pineapple Juice', ' Grenadine', nan, nan]"
Golden Slipper Cocktail,Cocktail Classics,0.75, Yellow Chartreuse,2, Old Mr. Boston Apricot Flavored Brandy,,,,,,,,,Stir with ice and strain into cocktail glass. Float an unbroken egg yolk on top.,Cocktail Glass,6 or more ounces,"[0.75, '2', nan, nan, nan, nan]","[' Yellow Chartreuse', ' Old Mr. Boston Apricot Flavored Brandy', nan, nan, nan, nan]"
